,Tournament,White_Name,White_Age,White_Rating,White_Title,Black_Name,Black_Age,Black_Rating,Black_Title,Result_White,White_Age_Squared,White_Rating_Squared,White_Age_Rating_CP,Black_Age_Squared,Black_Rating_Squared,Black_Age_Rating_CP
124,TSC_24,"Dardha, Daniel",2.923076923,6.01999999,GM,"Korobov, Anton",6,6.63000001,GM,0.5,8.544378698,36.24039988,17.59692305,36,43.95690013,39.78000006
125,TSC_24,"L'ami, Erwin",6,6.27000001,GM,"Beukema, Stefan",4.307692308,4.27999999,IM,1,36,39.31290013,37.62000006,18.55621302,18.31839991,18.43692303
126,TSC_24,"Dronavalli, Harika",5.076923077,4.99999999,GM,"Mendonca, Leon Luke",2.769230769,6.07999999,GM,0,25.77514793,24.9999999,25.38461533,7.668639053,36.96639988,16.83692305
127,TSC_24,"Vrolijk, Liam",3.384615385,5.73000001,GM,"Mendonca, Leon Luke",2.769230769,6.07999999,GM,1,11.4556213,32.83290011,19.39384619,7.668639053,36.96639988,16.83692305
128,TSC_24,"Beukema, Stefan",4.307692308,4.27999999,IM,"Dronavalli, Harika",5.076923077,4.99999999,GM,0,18.55621302,18.31839991,18.43692303,25.77514793,24.9999999,25.38461533
129,TSC_24,"Korobov, Anton",6,6.63000001,GM,"L'ami, Erwin",6,6.27000001,GM,0.5,36,43.95690013,39.78000006,36,39.31290013,37.62000006
130,TSC_24,"Santos Latasa, Jaime",4.307692308,6.15000001,GM,"Dardha, Daniel",2.923076923,6.01999999,GM,0.5,18.55621302,37.82250012,26.49230774,8.544378698,36.24039988,17.59692305
131,TSC_24,"Niemann, Hans Moke",3.230769231,6.91999999,GM,"Maurizzi, Marc`andria",2.615384615,5.71999999,GM,0,10.43786982,47.88639986,22.35692304,6.840236686,32.71839989,14.95999997
132,TSC_24,"Yilmaz, Mustafa",4.923076923,6.64999999,GM,"Roebers, Eline",2.769230769,3.81000001,IM,0,24.23668639,44.22249987,32.73846149,7.668639053,14.51610008,10.55076926
133,TSC_24,"Salem, A.R. Saleh",4.769230769,6.30000001,GM,"Divya, Deshmukh",2.923076923,4.20000001,IM,1,22.74556213,39.69000013,30.04615389,8.544378698,17.64000008,12.27692311
